categories,rating_count,rating_min,rating_max,rating_mean,rating_std
Restaurant,231343,1.0,5.0,3.9057416909091693,1.2339775544085505
American Restaurant,226771,1.0,5.0,3.9325486944979735,1.1612055038294888
European Restaurant,183252,0.0,5.0,3.9913179665160543,1.1659887450753585
Asian Restaurant,158981,0.0,5.0,3.978412514703015,1.167627220431655
Italian Restaurant,146286,1.0,5.0,4.033345637996801,1.146390373978357
Fast Food Restaurant,130440,1.0,5.0,3.6538101809260963,1.3290097965426482
Pizza Restaurant,128064,1.0,5.0,3.946362756121939,1.2135877198321847
Mexican Restaurant,104057,1.0,5.0,3.972918688795564,1.1882704529448507
Latin American Restaurant,96594,1.0,5.0,3.9850508313145743,1.1710536255257014
Used Car Dealer,95861,1.0,5.0,4.3341087616444645,1.3083976810512272
Hotel,94219,1.0,5.0,3.7095384158184657,1.3390654205729733
Hamburger Restaurant,77026,1.0,5.0,3.6112092020876068,1.3325470676257758
Bar,74597,1.0,5.0,3.9830958349531485,1.1279460852710543
Chinese Restaurant,73197,1.0,5.0,3.837288413459568,1.235463069311381
Auto Repair Shop,68214,1.0,5.0,4.288826340633888,1.3487905594105927
Bar & Grill,62440,1.0,5.0,3.8633888532991674,1.1992960861831135
Seafood Restaurant,56941,1.0,5.0,3.9663862594615478,1.1574020975422972
Auto Parts Store,52099,1.0,5.0,4.279813432119618,1.3371156365078116
Sandwich Shop,50243,1.0,5.0,3.983221543299564,1.186022316138123
Coffee Shop,49934,1.0,5.0,4.185524892858573,1.1028398480876886
Steak House,47825,1.0,5.0,3.9365185572399373,1.1972324219395731
Japanese Restaurant,45359,0.0,5.0,4.115655107034987,1.1029832327555218
Car Dealer,38023,1.0,5.0,4.343765615548484,1.3046293521708914
Cafe,37757,1.0,5.0,4.128294091161904,1.072789742648416
Barbecue Restaurant,36129,1.0,5.0,4.028951811564117,1.1480057949673261
Sushi Restaurant,34843,1.0,5.0,4.132795683494533,1.102316267225425
Bakery,34520,1.0,5.0,4.151796060254925,1.1362034472479714
Tire Shop,32356,1.0,5.0,3.890468537520089,1.5443359704963346
Southeast Asian Restaurant,29272,1.0,5.0,4.118338343809784,1.0559179869464657
Department Store,28878,1.0,5.0,3.3892236304453216,1.4328613362863516
Dessert Shop,28435,1.0,5.0,4.161772463513276,1.1649171460185301
Beauty Salon,26363,1.0,5.0,4.258582103705952,1.3132451865800758
Park,26062,1.0,5.0,4.252896938070754,1.0090370272635416
Deli,25831,1.0,5.0,4.092950330997638,1.1511381742504199
Motel,23450,1.0,5.0,3.4509168443496803,1.401825955207418
Auto Body Shop,23258,1.0,5.0,4.346934388167512,1.3044452597527685
Pub,22877,1.0,5.0,3.975346417799537,1.1277100671772091
Thai Restaurant,22230,1.0,5.0,4.143094916779127,1.0531730058526352
Mediterranean Restaurant,21337,1.0,5.0,4.146834137882552,1.0559207045110568
Dental Clinic,21286,1.0,5.0,4.598703373109085,1.049046777248258
Cosmetic Dentist,21273,1.0,5.0,4.763409016123725,0.8136388387581008
Takeout Restaurant,20766,1.0,5.0,3.6924780891842435,1.3261010323012623
Chicken Restaurant,20564,1.0,5.0,3.758753160863645,1.3152980533220724
Sports Bar,20303,1.0,5.0,3.7666354725902575,1.2345053627855829
Electronics Store,19891,1.0,5.0,3.3971142727866876,1.6172802766296772
Cell Phone Store,19734,1.0,5.0,3.5872098915577175,1.6321252268517104
Breakfast Restaurant,19665,1.0,5.0,4.03208746503941,1.150731910790077
Caterer,19315,1.0,5.0,4.061299508154284,1.1803643010138292
Hair Salon,19145,1.0,5.0,4.390650300339514,1.2175869967433859
Dentist,19014,1.0,5.0,4.504049647628063,1.1578964312207647
Veterinarian,18714,1.0,5.0,4.3288447151864915,1.3010132900008935
Movie Theater,18065,1.0,5.0,3.9944644339883753,1.1527839767274217
Chiropractor,17885,1.0,5.0,4.818451216102879,0.6839335514593425
Indian Restaurant,17585,1.0,5.0,3.9107193630935457,1.2362029604113942
French Restaurant,17464,0.0,5.0,4.166284928996793,0.980924066117901
Ice Cream Shop,17415,1.0,5.0,4.210106230261269,1.1167677322884455
Self-Storage Facility,17231,1.0,5.0,4.73994544715919,0.8019743320662515
